dest_iso,dest_country,total_fob_usd,india_share_pct,realised_usd_per_kg,price_vs_portfolio_pct,recent_shift_pct,n_active_months,fta_status,world_import_usd,world_import_usd_last,india_share_of_market_pct,addressable_usd,pivot_score,shift_flag
ARG,Argentina,22931360.16,1.1,1.7105,4.6,-33.3,70,MFN,94405049.02,9798680.42,24.3,71464622.11,47.3,FADING
DOM,Dominican Rep.,2698188.89,0.13,2.2141,35.4,-95.6,28,MFN,13732667.73,1922483.17,19.6,11041064.85,47.3,FADING
ITA,Italy,51793422.27,2.47,1.5593,-4.7,-0.4,72,MFN,163269147.1,20284437.09,31.7,111512827.47,47.0,STABLE
UKR,Ukraine,3066538.03,0.15,1.4874,-9.1,212.2,51,MFN,15284582.99,3965458.48,20.1,12212381.81,47.0,SURGING
NLD,Netherlands,50775373.3,2.43,1.3555,-17.1,33.8,72,MFN,178164118.78,26744445.17,28.5,127387344.93,45.9,SURGING
PHL,Philippines,6239995.2,0.3,1.7169,5.0,-12.8,66,MFN,21000348.0,2715339.0,29.7,14763244.64,45.7,STABLE
KOR,Rep. of Korea,22873180.93,1.09,1.6547,1.2,-21.9,72,MFN,86776970.0,14911420.0,26.4,63867849.92,44.7,FADING
IRQ,Iraq,5106931.61,0.24,1.6495,0.8,61.2,53,MFN,,,,,44.1,SURGING
ISR,Israel,4300378.68,0.21,1.6392,0.2,-6.1,65,MFN,22133000.0,3296000.0,19.4,17839198.0,42.0,STABLE
POL,Poland,17452526.59,0.83,1.4887,-9.0,-12.7,71,MFN,137660942.0,22071728.0,12.7,120178002.37,42.0,STABLE
GRC,Greece,2755508.84,0.13,1.0516,-35.7,75.8,49,MFN,20822789.03,2532553.14,13.2,18074180.88,41.6,SURGING
GTM,Guatemala,3496800.77,0.17,1.655,1.2,21.4,59,MFN,7991157.0,1609938.0,43.8,4491030.23,41.2,SURGING
IDN,Indonesia,44703886.73,2.14,1.3365,-18.3,10.2,72,MFN,180493211.0,32108634.0,24.8,135730894.67,40.9,STABLE
LTU,Lithuania,2835764.79,0.14,1.4896,-8.9,27.8,49,MFN,9759863.0,1028922.0,29.1,6919742.87,38.9,SURGING
IRL,Ireland,3750371.0,0.18,1.3777,-15.8,51.7,54,MFN,13162388.84,2092216.31,28.5,9411108.02,38.2,SURGING
VNM,Viet Nam,7538543.57,0.36,1.4751,-9.8,16.6,72,MFN,23005069.23,,32.8,15459406.52,38.2,STABLE
IRN,Iran,7970431.03,0.38,1.7825,9.0,-55.5,46,MFN,,,,,37.8,FADING
CHL,Chile,14771644.79,0.71,1.4971,-8.5,19.1,71,MFN,20891195.9,4235107.95,70.7,6121120.4,37.0,STABLE
DZA,Algeria,5210787.28,0.25,1.713,4.7,-33.4,58,MFN,,,,,33.2,FADING
EGY,Egypt,19576110.87,0.94,1.3657,-16.5,-24.4,72,MFN,14827617.46,4380270.38,100.0,0.0,18.2,FADING
AFG,Afghanistan,102556.29,0.0,1.1547,-29.4,,7,MFN,,,,,,
AGO,Angola,253459.5,0.01,1.282,-21.6,29.1,11,MFN,3159578.55,258517.81,8.0,2906812.27,,
AUT,Austria,588723.74,0.03,1.2408,-24.1,109.1,15,MFN,14640108.03,,4.0,14054503.71,,
BDI,Burundi,6825.95,0.0,2.2192,35.7,,2,MFN,2817.3,,100.0,0.0,,
BFA,Burkina Faso,100820.62,0.0,1.6724,2.2,,4,MFN,980541.44,,10.3,879545.67,,
BGD,Bangladesh,1056031.79,0.05,1.3903,-15.0,88.5,57,MFN,,,,,,
BGR,Bulgaria,321450.89,0.02,1.4819,-9.4,90.1,17,MFN,11382864.21,2040426.97,2.8,11064144.01,,
BHR,Bahrain,1272395.52,0.06,4.3826,167.9,-38.7,33,MFN,13930217.73,1269985.96,9.1,12662567.92,,
BLR,Belarus,161975.37,0.01,1.674,2.3,-100.0,5,MFN,8454200.0,,1.9,8293570.2,,
BOL,Bolivia (Plurinational State of),77799.18,0.0,1.5005,-8.3,-100.0,4,MFN,2104420.3,918824.0,3.7,2026556.75,,
BTN,Bhutan,61253.67,0.0,2.318,41.7,85.2,30,MFN,,,,,,
CMR,Cameroon,542.11,0.0,1.9244,17.6,-100.0,2,MFN,21315.83,,2.5,20782.93,,
COD,Dem. Rep. of the Congo,49613.54,0.0,2.4548,50.1,620.5,20,MFN,3178458.46,,1.6,3127603.12,,
COG,Congo,47368.24,0.0,2.0934,28.0,,3,MFN,116192.93,,40.8,68786.21,,
CRI,Costa Rica,234732.07,0.01,1.4709,-10.1,197.2,20,MFN,197647.08,,100.0,0.0,,
